MH2,MH3,MH5,SAP,SSN,DESCRIPTION,Sales Quantity,Online Sales Quantity,% Online Sales,Gross Sales,Margin %,Total Stock ,DC Stock ,Total Wks Cover,DC Cover
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1122863,22Q1,Brooks Adrenaline GTS 22 Wmn Fw Blk/Purp,147,16,10.88%,"21,545",49.60%,529,91,3.6,0.62
KEEPFIT,KPF_MACHINE,KPFTTREAD,1090345,21/22,ProForm 525i Treadmill Black,24,22,91.67%,"17,474",21.90%,114,100,4.75,4.17
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1122860,22Q1,Brooks Ghost 14 Womens Fw Black,83,10,12.05%,"12,030",49.10%,1143,509,13.77,6.13
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122887,22Q1,Brooks Adrenaline GTS 22 Mens Fw Navy,79,8,10.13%,"11,438",49.00%,1210,503,15.32,6.37
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1122865,22Q1,Brooks Adrenaline GTS 22 Wmns Fw Black,71,11,15.49%,"10,408",49.70%,928,481,13.07,6.77
RUGBY,RUGBY_REPLICA,RIRE_TK,1118068,21Q3,Canterbury IRFU 21 Home Pro Jersey Green,165,51,30.91%,"9,938",27.00%,4606,3494,27.92,21.18
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122889,22Q1,Brooks Adrenaline GTS 22 Mens Fw Black,67,3,4.48%,"9,908",50.10%,863,276,12.88,4.12
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1124278,22Q1,Nike Phantom GT2 A/D Fit FG/MG Black,109,4,3.67%,"9,657",49.10%,436,236,4,2.17
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1122328,22Q1,Asics Gel-Kayano 28 Womens Run Blue/Pink,54,7,12.96%,"9,468",50.30%,548,124,10.15,2.3
SOCCER,SOCCER_REPLICA,SIRE_TD,1124492,22Q1,Umbro FAI 22 Home Jersey Green,120,26,21.67%,"8,850",42.90%,3668,2687,30.57,22.39
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1127215,22Q3,Nike Revolution 6 Mens Black,146,10,6.85%,"8,604",48.20%,2311,1533,15.83,10.5
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_FBOOT,1124273,22Q1,Nike Tiempo Legend 9 Academy SG AC Black,106,29,27.36%,"8,364",49.10%,273,82,2.58,0.77
KEEPFIT,KPF_MACHINE,KPFTTREAD,1126685,21/22,Nordic Track S25i Treadmill Black,7,6,85.71%,"7,762",48.70%,99,87,14.14,12.43
RUGBY,RUGBY_REPLICA,RIRE_LW,1118089,21Q3,Canterbury IRFU 21 QZ Top Green,143,25,17.48%,"7,129",31.50%,806,543,5.64,3.8
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1115950,22Q1,Asics GT-2000 10 Womens Run Coral/Blue,50,10,20.00%,"6,832",51.40%,358,106,7.16,2.12
SOCCER,SOCCER_REPLICA,SIRE_TD,1124498,22Q1,Umbro FAI 22 Home Kids Jersey Green,118,17,14.41%,"6,720",40.20%,2487,1753,21.08,14.86
KEEPFIT,KPF_MACHINE,KPFTTREAD,1125048,21/22,NordicTrack C1750 Treadmill,3,3,100.00%,"6,687",39.80%,8,7,2.67,2.33
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1111814,CORE,Nike Wmns One Tight 2.0 Black,165,17,10.30%,"6,448",48.90%,2770,2166,16.79,13.13
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KIDGIRLFW,1101960,CORE,Nike Court Borough Low 2 Kids White,168,26,15.48%,"6,118",44.90%,1301,711,7.74,4.23
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1120204,22Q1,Nike Revolution 6 Wmns Run Black/Copper,103,29,28.16%,"5,564",48.70%,1031,345,10.01,3.35
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1116533,CORE,Nike Court Vision Low Mens White/Black,80,19,23.75%,"5,456",48.30%,389,218,4.86,2.73
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115903,22Q1,Asics GT-2000 10 Mens Run Black/Grey,37,3,8.11%,"5,040",50.30%,762,284,20.59,7.68
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1114018,ESS,Puma Carina Lift Womens Fw White,92,13,14.13%,"4,961",52.60%,1333,557,14.49,6.05
GAELIC,GAA_CORE_STOCK,GAA_GLOVE,1121620,CORE,ATAK Sports Air Glove Black,242,16,6.61%,"4,783",53.50%,1507,1165,6.23,4.81
FOOTWEAR_GIRLS,JNR_GIRLS_FW,JNRGIRLFW,1122312,22Q1,Asics GT-1000 11 Jnr Uni Run Black/White,103,8,7.77%,"4,530",44.20%,732,133,7.11,1.29
RUGBY,RUGBY_REPLICA,RIRE_TK,1118074,21Q3,Canterbury IRFU 21 Hm Pro Kid Jersey Grn,98,15,15.31%,"4,529",27.10%,2383,1465,24.32,14.95
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1112885,ESS,Umbro Raposa Kids FG Black,176,16,9.09%,"4,525",43.50%,1328,90,7.55,0.51
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KGSFWRUN,1122296,22Q1,Asics GT-1000 11 Kid Uni Run Black/White,88,11,12.50%,"4,458",48.80%,537,127,6.1,1.44
GAELIC,GAA_CORE_STOCK,GAA_HELMT,1079497,ESS,Azzurri Hurling Helmet Royal,108,16,14.81%,"4,412",39.20%,539,302,4.99,2.8
RUGBY,RUGBY_REPLICA,RIRE_LW,1118088,21Q3,Canterbury IRFU 21 Midlayer QZ Top Green,145,35,24.14%,"4,400",30.90%,1827,1154,12.6,7.96
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1125643,22Q1,Adidas COPA SENSE.3 FG Black,55,12,21.82%,"4,320",46.40%,260,111,4.73,2.02
FOOTWEAR_BOYS,KIDS_BOYS_FW,KBSFWRUN,1117318,22Q1,Nike WearAllDay Kid Boys Run Black/White,89,6,6.74%,"4,278",53.40%,1220,398,13.71,4.47
GAELIC,GAA_CORE_STOCK,GAA_HELMT,1122542,ESS,AZZURRI Hurling Helmet White,101,23,22.77%,"4,243",27.00%,762,495,7.54,4.9
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1117282,21Q3,Brooks Ghost 14 Mens Fw Navy/Stellar,38,,0.00%,"4,200",38.50%,359,4,9.45,0.11
FOOTBALANCE0,FOOTBALANCE,FOOTBALAN,1097215,CORE,FootBalance 100% Balance Black,71,,0.00%,"4,199",59.40%,603,49,8.49,0.69
APPAREL_MEN,MEN_RUN_APP,ATH_M_LST,1120068,22Q1,Nike Mens TF Rpl Elmnt Half Zip Blue,76,2,2.63%,"4,178",32.90%,658,264,8.66,3.47
GAELIC,GAA_CORE_STOCK,GAA_BALL,3452001,CORE,O'Neills Intercounty Football Size 4,260,125,48.08%,"4,101",27.80%,1645,1075,6.33,4.13
FOOTWEAR_MEN,MEN_PERF_FW,MNSHIKEFW,1107919,21Q3,Skechers Equalizer 4.0 Trail Men Nvy/Blk,50,,0.00%,"3,976",55.80%,1240,326,24.8,6.52
FOOTWEAR_BOYS,KIDS_BOYS_FW,KIDBOYSFW,1103980,22Q1,Nike Air Max Invigor Kid Boys Fw Blk/Gry,65,10,15.38%,"3,972",49.10%,687,207,10.57,3.18
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122886,22Q1,Brooks Ghost 14 Mens Navy/Orange,27,,0.00%,"3,968",52.60%,621,264,23,9.78
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122409,22Q1,Asics Gel-Excite 9 Mens Run Blue/White,50,4,8.00%,"3,928",50.70%,973,508,19.46,10.16
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1126307,22Q2,Nike Kids VAPOR 14 ACADEMY FG/MG Grey,65,,0.00%,"3,885",59.10%,595,304,9.15,4.68
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1098493,22Q2,Nike Court Vision Low Wmns Fw White,56,7,12.50%,"3,875",41.70%,1279,733,22.84,13.09
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1120289,22Q1,Nike Air Max SC Mens Fw Grey/Blue,47,8,17.02%,"3,870",51.00%,558,198,11.87,4.21
KEEPFIT,KPF_MACHINE,KPFTTREAD,1130834,21/22,NordicTrack Elite 1400 Treadmill Black,2,2,100.00%,"3,858",50.70%,29,29,14.5,14.5
GAELIC,GAA_REPLICA,TIP_TK,1113629,GAATK,O'Neills Tipperary 21 Hm Kid Jsy Blue,71,9,12.68%,"3,813",42.20%,356,145,5.01,2.04
SOCCER,SOCCER_REPLICA,SIRE_LW,1118320,21Q4,Umbro FAI 90 Terrace Jersey Green,72,22,30.56%,"3,669",39.70%,227,77,3.15,1.07
GAELIC,GAA_CORE_STOCK,GAA_HELMT,1079495,ESS,Azzurri Hurling Helmet Green,89,14,15.73%,"3,639",38.50%,604,302,6.79,3.39
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1124270,22Q1,Nike VAPOR 14 ACADEMY FG/MG Black,46,11,23.91%,"3,630",49.20%,88,22,1.91,0.48
SOCCER,SOCCER_REPLICA,SIRE_TD,1124501,22Q1,Umbro FAI 22 Home Infant Kit Green,67,9,13.43%,"3,625",44.60%,1221,727,18.22,10.85
APPAREL_MEN,MEN_TRAIN_APP,M_FLEE_JP,1111601,22Q1,Nike Mens Dry Pant Taper Flc Black,73,2,2.74%,"3,575",51.10%,1311,758,17.96,10.38
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,1067378,CORE,O'Neills Gel Mouthguard Senior Blue/Wht,256,2,0.78%,"3,540",52.20%,1013,398,3.96,1.55
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122408,22Q1,Asics Gel-Pulse 13 Mens Run Blue/Orange,36,3,8.33%,"3,535",50.70%,508,186,14.11,5.17
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1126921,22Q2,adidas EQ21 Womens Grey,43,,0.00%,"3,384",46.50%,842,460,19.58,10.7
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KGSFWRUN,1122297,22Q1,Asics GT-1000 11 Kid Girl Run Purple/Pnk,68,11,16.18%,"3,351",47.60%,984,512,14.47,7.53
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1124291,22Q1,Nike Phantom GT2 A/D Fit Kids FG/MG Blk,56,,0.00%,"3,323",50.40%,604,289,10.79,5.16
FOOTWEAR_GIRLS,JNR_GIRLS_FW,JNRGIRLFW,1101975,CORE,Nike Court Borough Low 2 SE Junior White,111,32,28.83%,"3,315",45.40%,2313,1532,20.84,13.8
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_1\/2_ZJ,1119949,22Q1,Nike Wmns One TF Std Ls Half Zip Black,61,,0.00%,"3,281",49.70%,690,306,11.31,5.02
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1127658,22Q1,Nike Air Max SC Mens Fw Black/Wht,39,3,7.69%,"3,277",47.50%,2239,1108,57.41,28.41
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1126944,22Q2,adidas Mens  EQ21 RUN White,42,,0.00%,"3,244",45.50%,734,312,17.48,7.43
APPAREL_MEN,MEN_TRAIN_APP,M_WVN_JP,1112314,22Q1,adidas Mens TIRO21 Pant Black,67,5,7.46%,"3,241",54.20%,617,145,9.21,2.16
GAELIC,GAA_CORE_STOCK,GAA_GLOVE,1026085,CORE,"ATAK Sports Neon Glove, Blue",129,1,0.78%,"3,193",54.30%,1399,992,10.84,7.69
FOOTBALANCE0,FOOTBALANCE,FOOTBALAN,1097216,CORE,FootBalance 100% Balance Narrow Red,54,,0.00%,"3,180",59.30%,634,37,11.74,0.69
APPAREL_MEN,MEN_TRAIN_APP,M_WVN_JP,1112315,22Q1,adidas Mens TIRO21 Pant Navy,64,6,9.38%,"3,134",0.548860759,795,317,12.42,4.95
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1123780,22Q2,adidas Racer TR21 Mens Fw Black/White,41,1,2.44%,"3,041",46.90%,1597,1157,38.95,28.22
RUGBY,RUGBY_REPLICA,RIRE_LW,1118110,21Q3,Canterbury IRFU 21 Skinny Pant Blk,87,17,19.54%,"3,022",21.90%,517,219,5.94,2.52
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1122319,22Q1,Asics Patriot 12 Jnr Boys Run Blue/Black,89,27,30.34%,"3,021",47.20%,448,71,5.03,0.8
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1123267,CORE,Nike Revolution 6 Jnr Boy Fw Black/Grey,101,16,15.84%,"3,005",40.90%,1547,1019,15.32,10.09
FOOTWEAR_BOYS,KIDS_BOYS_FW,KBSFWRUN,1122304,22Q1,Asics GT-1000 11 Kid Uni Run Black/Green,59,4,6.78%,"3,003",49.00%,1029,567,17.44,9.61
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1125628,22Q1,Adidas PREDATOR EDGE.3 FG Blue,34,5,14.71%,"2,993",46.40%,285,149,8.38,4.38
GAELIC,GAA_CORE_STOCK,GAA_GLOVE,1079925,CORE,ATAK Sports Aquas Glove White,149,5,3.36%,"2,950",50.30%,1925,1494,12.92,10.03
APPAREL_MEN,MEN_TRAIN_APP,M_WVN_JP,104042000,ESS,Canterbury Ugly Stadium Pant Navy,54,2,3.70%,"2,932",53.90%,897,451,16.61,8.35
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122403,22Q1,Asics Gel-Cumulus 23 MK Men Run Blue/Blk,25,3,12.00%,"2,924",42.90%,611,189,24.44,7.56
APPAREL_MEN,MEN_TRAIN_APP,M_WVN_JP,1112762,22Q1,O'Neills Achill Poly Mens Pant Navy,66,4,6.06%,"2,923",49.20%,1375,893,20.83,13.53
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_J_FBB,1122849,22Q1C,Umbro Raposa Jnr FG Velcro Black,112,20,17.86%,"2,899",43.40%,777,339,6.94,3.03
KEEPFIT,KPF_MACHINE,KPFTBIKES,1071554,21/22,Rotocycle Pursuit 350 Manual Bike Blk/Si,18,6,33.33%,"2,834",28.70%,732,621,40.67,34.5
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,1067379,CORE,O'Neills Gel Mouthguard Junior Blue/Wht,202,10,4.95%,"2,817",53.10%,442,56,2.19,0.28
SWIM,SWIM_HARDWARE,SW_A_GOG,1083943,CORE,Speedo Futura Bio-fuse Flexi Goggles Mul,113,2,1.77%,"2,815",53.70%,1088,604,9.63,5.35
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1117263,22Q1,Brooks Ghost 14 Womens Fw Black/Ebony,19,4,21.05%,"2,790",53.20%,318,134,16.74,7.05
GAELIC,GAA_CORE_STOCK,GAA_HURLY,1124551,ESS,"Reydon Murphys Wexford Hurley 30""Multi",79,2,2.53%,"2,765",46.00%,462,274,5.85,3.47
APPAREL_MEN,MEN_TRAIN_APP,M_FLEE_JP,1111602,22Q1,Nike Mens Dry Pant Taper Flc Grey,56,,0.00%,"2,763",53.30%,835,417,14.91,7.45
APPAREL_MEN,MEN_TRAIN_APP,M_WVN_JP,1103121,22Q1,O'Neills Achill Poly Pant Black/White,62,7,11.29%,"2,745",49.20%,1732,1232,27.94,19.87
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,29332000,ESS,Adidas Copa Mundial Boot Black/White,21,4,19.05%,"2,730",38.50%,162,35,7.71,1.67
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115908,22Q1,Asics GT-1000 9 GTX Mens Run Black,21,4,19.05%,"2,730",48.40%,362,185,17.24,8.81
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KGSFWRUN,1122299,22Q1,Asics Patriot Kids Girls Run Navy/Pink,84,23,27.38%,"2,724",39.70%,785,310,9.35,3.69
GAELIC,GAA_CORE_STOCK,GAA_KST,40694000,CORE,O'Neills Mourne Kids Short Navy/Sky,157,7,4.46%,"2,707",47.70%,491,212,3.13,1.35
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1124282,22Q1,Nike Kids VAPOR 14 ACADEMY FG/MG Blue,54,6,11.11%,"2,680",50.40%,159,53,2.94,0.98
GAELIC,GAA_CORE_STOCK,GAA_HURLY,1124550,ESS,"Reydon Murphys Wexford Hurley 28""Mult",89,6,6.74%,"2,667",45.00%,466,284,5.24,3.19
FOOTBALANCE0,FOOTBALANCE,FOOTBALAN,1097217,CORE,FootBalance 100% Impact Yellow,45,,0.00%,"2,663",59.50%,463,32,10.29,0.71
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1120287,CORE,Nike Tanjun Mens Fw Black/Volt,39,5,12.82%,"2,663",50.40%,1388,901,35.59,23.1
